sample_index,rules,n_satisfied_reqs,pred_req_0,real_req_0,pred_req_1,real_req_1,pred_req_2,real_req_2,pred_req_3,real_req_3
48,b'obstacle distance' <= 30.09; b'obstacle size' > 50.21; b'smoke intensity' <= 67.44; b'image resolution' > 36.34; b'illuminance' > 36.76; b'power' > 76.75; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; 36.76 < b'illuminance' <= 79.46; b'obstacle size' > 50.21; 36.34 < b'image resolution' <= 80.15; 45.55 < b'smoke intensity' <= 67.44; b'obstacle distance' <= 72.25; b'power' > 76.75,2,1,1,1,1,0,0,0,0
49,b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'obstacle size' <= 26.12; b'image resolution' > 58.97; 45.55 < b'smoke intensity' <= 67.44; b'power' <= 76.75; b'firm obstacle' = 1.0; b'obstacle distance' > 72.25; b'obstacle size' <= 75.32; b'cruise speed' <= 57.30; 58.97 < b'image resolution' <= 80.15,2,0,0,1,1,1,1,0,0
52,b'illuminance' > 36.76; b'smoke intensity' <= 67.44; b'obstacle size' > 50.21; b'image resolution' > 36.34; b'obstacle distance' <= 51.10; b'cruise speed' <= 57.30; b'firm obstacle' = 0.0; b'controls responsiveness' > 38.48; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'obstacle size' > 50.21,2,1,1,1,1,0,0,0,0
54,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 80.15; b'obstacle size' > 26.12; b'power' > 53.00; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 36.77; b'smoke intensity' <= 22.73; b'controls responsiveness' > 60.79; b'image resolution' > 80.15; b'obstacle size' <= 75.32; b'cruise speed' <= 36.77; b'obstacle distance' > 72.25; b'illuminance' > 56.79; b'smoke intensity' <= 22.73; 53.00 < b'power' <= 76.75,3,1,1,1,1,0,0,1,1
59,b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 60.79; b'obstacle distance' > 30.09; 60.79 < b'controls responsiveness' <= 81.26; b'obstacle size' <= 50.21; b'cruise speed' <= 18.23; b'obstacle distance' > 51.10; b'smoke intensity' <= 45.55; b'power' > 31.00,2,0,0,1,1,0,0,1,1
61,b'smoke intensity' <= 22.73; b'illuminance' > 79.46; b'obstacle size' > 26.12; 53.00 < b'power' <= 76.75; b'obstacle distance' <= 51.10; 18.23 < b'cruise speed' <= 36.77; b'controls responsiveness' > 38.48; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'controls responsiveness' > 38.48; b'power' > 53.00; b'smoke intensity' <= 22.73,2,1,1,1,1,0,0,0,0
62,b'smoke intensity' <= 45.55; b'image resolution' > 58.97; b'illuminance' > 36.76; b'obstacle distance' <= 72.25; 18.23 < b'cruise speed' <= 36.77; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 36.77; b'image resolution' > 58.97,2,1,1,1,1,0,0,0,0
68,b'smoke intensity' <= 45.55; b'illuminance' > 79.46; b'image resolution' > 58.97; b'power' > 53.00; b'obstacle size' > 26.12; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 38.48; b'power' > 76.75,2,1,0,1,1,0,0,0,0
73,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 80.15; b'obstacle size' > 50.21; b'power' > 31.00; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'controls responsiveness' > 60.79; b'image resolution' > 58.97,2,1,1,1,1,0,0,0,0
74,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; b'smoke intensity' <= 45.55; b'power' > 53.00; b'firm obstacle' = 1.0; b'controls responsiveness' > 38.48; b'image resolution' > 80.15; b'obstacle distance' > 30.09; b'smoke intensity' <= 22.73; b'power' > 31.00,2,1,1,0,0,0,0,1,1
78,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 58.97; b'obstacle size' > 26.12; b'power' > 76.75; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 60.79; b'obstacle distance' <= 72.25,2,1,0,1,1,0,0,0,0
80,b'firm obstacle' = 1.0; b'smoke intensity' <= 22.73; b'image resolution' > 80.15; b'power' > 53.00; b'obstacle distance' <= 72.25; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'illuminance' > 79.46; b'image resolution' > 80.15; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'illuminance' > 56.79; b'controls responsiveness' > 38.48; b'firm obstacle' = 1.0; b'image resolution' > 58.97; b'controls responsiveness' > 38.48; b'obstacle size' <= 75.32; b'illuminance' > 36.76,4,1,1,1,1,1,1,1,1
83,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 36.34; b'obstacle size' > 26.12; b'power' > 31.00; b'firm obstacle' = 0.0; b'controls responsiveness' > 38.48; b'cruise speed' <= 57.30; 30.09 < b'obstacle distance' <= 72.25,2,1,1,1,1,0,0,0,0
85,b'firm obstacle' = 1.0; b'smoke intensity' <= 67.44; b'image resolution' > 80.15; b'illuminance' > 36.76; b'cruise speed' > 36.77; 36.76 < b'illuminance' <= 56.79; 30.09 < b'obstacle distance' <= 72.25; b'smoke intensity' <= 45.55; b'obstacle size' <= 26.12; b'image resolution' > 58.97; 31.00 < b'power' <= 76.75; b'firm obstacle' = 1.0; b'obstacle size' <= 26.12; b'illuminance' > 36.76; b'image resolution' > 80.15; b'obstacle distance' > 30.09; 53.00 < b'power' <= 76.75; b'firm obstacle' = 1.0; b'obstacle size' <= 26.12; b'illuminance' > 36.76; b'image resolution' > 36.34; b'smoke intensity' <= 22.73; b'obstacle distance' > 30.09,4,1,1,1,1,1,1,1,1
86,b'firm obstacle' = 0.0; b'controls responsiveness' > 38.48; b'cruise speed' <= 57.30; b'power' > 76.75; b'obstacle size' > 50.21; b'controls responsiveness' > 38.48; b'obstacle size' <= 75.32; b'obstacle distance' > 30.09; 18.23 < b'cruise speed' <= 57.30; b'power' > 31.00; b'smoke intensity' <= 67.44,2,0,0,1,1,0,0,1,1
87,b'smoke intensity' <= 45.55; b'image resolution' > 80.15; b'illuminance' > 56.79; b'obstacle size' > 75.32; b'power' > 31.00; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; 31.00 < b'power' <= 53.00; 56.79 < b'illuminance' <= 79.46,2,1,0,1,1,0,0,0,0
88,b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' > 26.12; b'illuminance' > 56.79; b'image resolution' > 36.34; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; b'obstacle size' <= 75.32; b'image resolution' > 36.34; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; b'obstacle size' <= 50.21; b'illuminance' > 56.79,3,1,1,0,0,1,1,1,1
89,b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; b'smoke intensity' <= 45.55; b'illuminance' > 36.76; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; 53.00 < b'power' <= 76.75; 30.09 < b'obstacle distance' <= 72.25; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; 36.76 < b'illuminance' <= 56.79; b'obstacle size' <= 75.32; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'illuminance' > 36.76,4,1,1,1,1,1,1,1,1
90,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 36.34; b'obstacle size' > 75.32; b'obstacle distance' <= 72.25; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'power' > 31.00; b'controls responsiveness' > 38.48,2,1,1,1,1,0,0,0,0
93,b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; b'illuminance' > 36.76; b'smoke intensity' <= 67.44; b'controls responsiveness' > 38.48; b'cruise speed' <= 57.30; 45.55 < b'smoke intensity' <= 67.44; 36.76 < b'illuminance' <= 56.79; 30.09 < b'obstacle distance' <= 72.25; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; b'obstacle size' <= 75.32; b'cruise speed' <= 57.30; b'illuminance' > 36.76; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 60.79; b'illuminance' > 36.76; b'cruise speed' <= 57.30,4,1,1,1,1,1,1,1,1
95,b'image resolution' > 80.15; b'smoke intensity' <= 45.55; b'obstacle size' > 75.32; b'illuminance' > 56.79; b'cruise speed' > 18.23; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'controls responsiveness' > 81.26; b'image resolution' > 58.97,2,1,0,1,1,0,1,0,0
96,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; b'smoke intensity' <= 45.55; b'cruise speed' <= 57.30; b'firm obstacle' = 1.0; b'controls responsiveness' > 81.26; b'obstacle size' <= 75.32; b'image resolution' > 58.97; b'illuminance' > 79.46; b'firm obstacle' = 1.0; 26.12 < b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'illuminance' > 79.46,3,1,1,0,0,1,1,1,1
97,b'smoke intensity' <= 45.55; b'obstacle size' > 75.32; b'image resolution' > 36.34; b'illuminance' > 56.79; b'power' > 76.75; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 36.77; b'obstacle distance' > 51.10,2,1,1,1,1,0,0,0,0
99,b'illuminance' > 79.46; 58.97 < b'image resolution' <= 80.15; 26.12 < b'obstacle size' <= 50.21; b'cruise speed' <= 18.23; b'obstacle distance' <= 51.10; b'power' > 53.00; b'controls responsiveness' > 81.26; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 81.26; b'obstacle size' <= 50.21; b'image resolution' > 58.97; b'illuminance' > 56.79; b'cruise speed' <= 18.23; 53.00 < b'power' <= 76.75; b'controls responsiveness' > 81.26; b'obstacle distance' > 30.09,3,1,1,1,1,0,0,1,1
101,b'firm obstacle' = 1.0; b'smoke intensity' <= 67.44; b'obstacle size' > 26.12; b'power' > 31.00; b'cruise speed' <= 36.77; b'cruise speed' <= 36.77; 51.10 < b'obstacle distance' <= 72.25; b'smoke intensity' <= 22.73; b'illuminance' > 36.76; 31.00 < b'power' <= 53.00; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'cruise speed' <= 36.77; b'obstacle distance' > 51.10; b'smoke intensity' <= 45.55; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'cruise speed' <= 36.77; 58.97 < b'image resolution' <= 80.15; b'illuminance' > 36.76; b'obstacle distance' > 30.09,4,1,1,1,1,1,1,1,1
102,b'firm obstacle' = 1.0; b'obstacle size' > 26.12; b'smoke intensity' <= 22.73; b'obstacle distance' <= 72.25; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'illuminance' > 56.79; 30.09 < b'obstacle distance' <= 72.25; b'image resolution' <= 58.97; b'obstacle size' <= 50.21; b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; b'obstacle size' <= 50.21; b'illuminance' > 36.76; b'controls responsiveness' > 60.79; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'illuminance' > 56.79; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30,4,1,1,1,1,1,1,1,1
103,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; b'cruise speed' <= 57.30; b'smoke intensity' <= 67.44; b'cruise speed' <= 57.30; b'controls responsiveness' > 60.79; b'obstacle distance' <= 72.25; b'illuminance' > 56.79; b'smoke intensity' <= 45.55; b'image resolution' > 36.34; b'power' > 31.00; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 60.79; b'image resolution' > 36.34; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'illuminance' > 36.76; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'smoke intensity' <= 22.73,4,1,1,1,1,1,1,1,1
104,b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 50.21; b'obstacle distance' > 51.10; b'controls responsiveness' > 38.48; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'cruise speed' <= 36.77; b'image resolution' > 36.34,2,0,0,0,0,1,1,1,1
106,b'firm obstacle' = 0.0; b'controls responsiveness' > 81.26; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'controls responsiveness' > 60.79; b'obstacle size' <= 26.12; b'image resolution' > 36.34; b'cruise speed' <= 36.77; b'obstacle distance' > 72.25; b'smoke intensity' <= 22.73; b'power' > 53.00,2,0,0,1,1,0,0,1,1
111,b'firm obstacle' = 1.0; b'obstacle size' > 26.12; b'smoke intensity' <= 45.55; b'power' > 53.00; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'cruise speed' <= 36.77; b'obstacle distance' > 30.09; b'power' > 53.00,2,1,1,0,0,0,0,1,1
112,b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 36.34; b'obstacle size' > 26.12; b'power' > 31.00; b'cruise speed' <= 57.30; b'firm obstacle' = 0.0; b'cruise speed' <= 57.30; b'controls responsiveness' > 60.79; b'illuminance' > 79.46; b'obstacle size' <= 50.21; b'illuminance' > 56.79; b'image resolution' > 36.34; b'controls responsiveness' > 60.79; b'obstacle distance' > 30.09; 18.23 < b'cruise speed' <= 57.30; 22.73 < b'smoke intensity' <= 45.55; b'power' > 31.00,3,1,1,1,1,0,0,1,1
114,b'firm obstacle' = 1.0; b'smoke intensity' <= 45.55; b'obstacle distance' <= 72.25; b'image resolution' > 36.34; 36.76 < b'illuminance' <= 79.46; 31.00 < b'power' <= 76.75; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 38.48; b'illuminance' > 36.76; b'power' > 53.00; b'image resolution' > 80.15,2,1,1,0,0,0,0,1,1
118,b'smoke intensity' <= 45.55; b'obstacle size' > 75.32; b'image resolution' > 58.97; b'obstacle distance' <= 51.10; b'controls responsiveness' <= 81.26; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'obstacle distance' > 30.09; b'obstacle size' > 75.32; b'illuminance' > 36.76; b'image resolution' > 58.97,2,1,1,1,1,0,0,0,0
119,b'obstacle distance' <= 30.09; b'image resolution' > 58.97; b'smoke intensity' <= 67.44; b'illuminance' > 56.79; b'obstacle size' > 26.12; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 81.26; b'obstacle distance' <= 72.25,2,1,1,1,1,0,0,0,0
120,38.48 < b'controls responsiveness' <= 60.79; b'illuminance' > 36.76; b'obstacle distance' > 30.09; 36.34 < b'image resolution' <= 58.97; 45.55 < b'smoke intensity' <= 67.44; 31.00 < b'power' <= 53.00; b'obstacle size' <= 50.21; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'obstacle distance' > 51.10; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'obstacle size' <= 26.12; b'controls responsiveness' > 38.48; b'illuminance' > 36.76; b'obstacle distance' > 51.10,3,0,0,1,1,1,1,1,1
122,b'illuminance' > 79.46; b'smoke intensity' <= 67.44; b'image resolution' > 36.34; b'obstacle size' > 75.32; b'cruise speed' <= 36.77; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'illuminance' > 79.46; b'smoke intensity' > 45.55; b'obstacle distance' > 30.09; b'image resolution' > 36.34,2,1,1,1,1,0,0,0,0
128,b'firm obstacle' = 1.0; b'smoke intensity' <= 67.44; b'obstacle size' > 26.12; b'illuminance' > 36.76; 51.10 < b'obstacle distance' <= 72.25; 38.48 < b'controls responsiveness' <= 81.26; 36.76 < b'illuminance' <= 79.46; 22.73 < b'smoke intensity' <= 67.44; b'obstacle size' <= 50.21; b'image resolution' > 36.34; b'power' > 31.00; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; b'obstacle size' <= 50.21; b'obstacle distance' > 51.10; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'illuminance' > 36.76; b'image resolution' > 36.34,4,1,1,1,1,1,1,1,1
133,b'firm obstacle' = 1.0; 18.23 < b'cruise speed' <= 36.77; 36.34 < b'image resolution' <= 58.97; b'power' <= 76.75; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'illuminance' > 56.79; b'firm obstacle' = 1.0; b'controls responsiveness' > 38.48; b'obstacle size' <= 26.12; b'illuminance' > 56.79,3,1,1,0,0,1,1,1,1
134,b'firm obstacle' = 1.0; b'smoke intensity' <= 45.55; b'power' > 53.00; b'image resolution' > 80.15; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'illuminance' > 56.79; b'controls responsiveness' > 38.48; b'image resolution' > 58.97; b'firm obstacle' = 1.0; b'controls responsiveness' > 60.79; b'obstacle size' <= 50.21; b'illuminance' > 36.76; b'power' > 31.00,3,1,1,0,0,1,1,1,1
