sample_index,rules,n_satisfied_reqs,pred_req_0,real_req_0,pred_req_1,real_req_1,pred_req_2,real_req_2,pred_req_3,real_req_3,pred_req_4,real_req_4,pred_req_5,real_req_5,pred_req_6,real_req_6,pred_req_7,real_req_7,pred_req_8,real_req_8,pred_req_9,real_req_9,pred_req_10,real_req_10,pred_req_11,real_req_11
15,#threats <= 53.00; #threats <= 53.00; flying_speed > 27.56; flying_speed > 15.83; 26.00 < #threats <= 53.00; threat_range <= 30458.59; flying_speed > 15.83; day_time > 12.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
16,#threats > 75.00; flying_speed <= 27.56; threat_range <= 30458.59; day_time > 12.00; formation = 0.0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,formation = 0.0; threat_range > 20104.47; threat_range > 20104.47; threat_range > 20104.47; 10398.43 < threat_range <= 30458.59; flying_speed > 27.56; 12.00 < day_time <= 18.00; #threats > 26.00; weather = 4.0; day_time > 12.00,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
18,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; #threats > 53.00; weather = 2.0; #threats <= 75.00; formation = 0.0; countermeasure = 0.0; 26.00 < #threats <= 75.00; 20104.47 < threat_range <= 30458.59; #threats <= 75.00; countermeasure = 0.0; threat_range > 10398.43; day_time > 12.00; 20104.47 < threat_range <= 30458.59; weather = 2.0; day_time <= 18.00; flying_speed > 38.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,threat_range > 10398.43; weather = 2.0; countermeasure = 1.0; weather = 2.0; 26.00 < #threats <= 53.00; 6.00 < day_time <= 18.00; formation = 0.0; flying_speed > 38.83,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
20,#threats > 75.00; flying_speed <= 15.83; threat_range <= 20104.47; flying_speed <= 15.83; flying_speed <= 15.83; weather = 3.0; flying_speed <= 38.83; flying_speed <= 15.83; 12.00 < day_time <= 18.00; threat_range <= 30458.59; #threats > 75.00; flying_speed <= 15.83,9,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
21,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 27.56; day_time > 12.00; formation = 0.0; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 20104.47; weather = 3.0; countermeasure = 0.0; flying_speed <= 27.56; formation = 0.0; threat_range <= 30458.59; weather = 3.0; day_time <= 18.00; 26.00 < #threats <= 75.00; formation = 0.0,12,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
22,#threats > 75.00; threat_range <= 20104.47; flying_speed <= 15.83; formation = 0.0; day_time <= 18.00; flying_speed <= 15.83; flying_speed <= 15.83; #threats > 75.00; threat_range <= 20104.47; weather = 2.0; day_time > 6.00; weather = 2.0; flying_speed <= 15.83; #threats > 75.00; threat_range <= 30458.59; flying_speed <= 15.83; flying_speed <= 15.83; #threats > 75.00; threat_range <= 30458.59; day_time <= 12.00; weather = 2.0; flying_speed <= 38.83; flying_speed <= 15.83; threat_range <= 20104.47; weather = 2.0; threat_range <= 10398.43,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,flying_speed <= 15.83; flying_speed <= 15.83; #threats <= 75.00; weather = 2.0; flying_speed <= 15.83; flying_speed <= 15.83; formation = 1.0; flying_speed <= 15.83,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
24,#threats <= 75.00; #threats <= 26.00; #threats <= 26.00; flying_speed > 38.83; day_time <= 6.00; #threats <= 75.00; threat_range <= 30458.59; formation = 0.0,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
25,flying_speed <= 15.83; flying_speed <= 15.83; weather = 1.0; weather = 1.0; flying_speed <= 15.83; flying_speed <= 15.83; weather = 1.0; flying_speed <= 15.83,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
26,countermeasure = 0.0; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; weather = 2.0; countermeasure = 0.0; flying_speed <= 38.83; threat_range <= 30458.59; #threats > 26.00; weather = 2.0; countermeasure = 0.0; flying_speed <= 38.83; flying_speed <= 38.83; 10398.43 < threat_range <= 30458.59; weather = 2.0; countermeasure = 0.0; #threats > 26.00; #threats > 53.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,#threats <= 53.00; #threats <= 53.00; weather = 2.0; flying_speed <= 38.83; 26.00 < #threats <= 53.00; flying_speed <= 38.83; threat_range <= 30458.59; weather = 2.0,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
28,countermeasure = 0.0; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; countermeasure = 0.0; flying_speed <= 38.83; day_time <= 6.00; #threats > 26.00; countermeasure = 0.0; flying_speed <= 38.83; countermeasure = 0.0; day_time <= 6.00; countermeasure = 0.0; threat_range <= 30458.59; threat_range <= 10398.43,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,#threats <= 75.00; #threats <= 53.00; 26.00 < #threats <= 53.00; day_time > 18.00; day_time > 18.00,8,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1
30,flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 27.56; flying_speed <= 38.83; threat_range <= 20104.47; flying_speed <= 15.83; day_time > 12.00; flying_speed <= 15.83,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
31,countermeasure = 0.0; formation = 1.0; countermeasure = 0.0; flying_speed <= 27.56; day_time <= 6.00; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 30458.59; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 27.56; flying_speed <= 38.83; flying_speed <= 27.56; #threats <= 53.00; weather = 4.0; #threats <= 53.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; 26.00 < #threats <= 75.00; threat_range > 10398.43; #threats <= 75.00; threat_range <= 30458.59; countermeasure = 0.0; day_time <= 12.00; 10398.43 < threat_range <= 30458.59; #threats > 26.00; countermeasure = 0.0; #threats <= 53.00; 26.00 < #threats <= 53.00; 10398.43 < threat_range <= 20104.47; threat_range <= 20104.47,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 30458.59; flying_speed <= 27.56; formation = 1.0; countermeasure = 0.0; flying_speed <= 15.83; threat_range <= 30458.59; day_time > 12.00; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 38.83; flying_speed <= 15.83; countermeasure = 0.0; day_time <= 18.00; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 15.83; #threats <= 53.00; threat_range > 20104.47; #threats <= 53.00,11,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1
35,countermeasure = 0.0; day_time <= 6.00; countermeasure = 0.0; flying_speed <= 15.83; threat_range <= 30458.59; #threats <= 75.00; day_time <= 6.00; countermeasure = 0.0; flying_speed <= 38.83; threat_range <= 30458.59; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 15.83; countermeasure = 0.0; threat_range <= 30458.59; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,countermeasure = 0.0; threat_range <= 20104.47; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 30458.59; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 30458.59; #threats > 26.00; threat_range > 10398.43; countermeasure = 0.0; flying_speed <= 27.56; flying_speed <= 27.56; 10398.43 < threat_range <= 20104.47; countermeasure = 0.0; flying_speed <= 27.56,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,flying_speed <= 15.83; #threats <= 75.00; flying_speed <= 15.83,7,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
38,#threats > 53.00; flying_speed <= 15.83; weather = 1.0; 6.00 < day_time <= 18.00; formation = 0.0; #threats <= 75.00; formation = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 15.83; formation = 0.0; day_time > 12.00; #threats > 26.00; threat_range <= 30458.59,9,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
39,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 53.00; day_time > 18.00; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 15.83; weather = 3.0; flying_speed <= 15.83; 26.00 < #threats <= 53.00; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,#threats <= 26.00; #threats <= 75.00; #threats <= 26.00; #threats <= 26.00; flying_speed <= 15.83; weather = 2.0; flying_speed <= 15.83,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
41,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 27.56; #threats > 26.00; threat_range > 10398.43; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; countermeasure = 0.0; threat_range <= 20104.47; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,#threats <= 53.00; #threats <= 75.00; day_time > 18.00; formation = 1.0; #threats <= 53.00; 26.00 < #threats <= 53.00; day_time > 18.00; threat_range > 20104.47,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
43,threat_range <= 30458.59; day_time <= 6.00; #threats <= 53.00; threat_range > 20104.47; #threats <= 75.00; threat_range <= 30458.59; day_time <= 6.00; weather = 3.0; day_time <= 6.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1
44,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 27.56; formation = 0.0; threat_range <= 30458.59; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 20104.47; #threats <= 75.00; flying_speed <= 27.56; countermeasure = 0.0; #threats <= 26.00; threat_range <= 20104.47; flying_speed <= 27.56; countermeasure = 0.0; #threats <= 53.00; formation = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,countermeasure = 0.0; threat_range > 10398.43; countermeasure = 0.0; day_time <= 6.00; #threats > 26.00; threat_range > 30458.59; countermeasure = 0.0; day_time <= 6.00; #threats > 26.00; weather = 1.0; threat_range > 10398.43; threat_range > 10398.43; countermeasure = 0.0; weather = 1.0; day_time <= 6.00; countermeasure = 0.0; weather = 1.0; flying_speed > 15.83; threat_range > 10398.43; day_time <= 6.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 27.56; #threats > 26.00; day_time > 18.00; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; #threats > 26.00; countermeasure = 0.0; flying_speed <= 27.56; countermeasure = 0.0; 10398.43 < threat_range <= 20104.47; #threats <= 53.00; day_time > 18.00; threat_range > 10398.43,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; formation = 1.0; 10398.43 < threat_range <= 30458.59; #threats <= 53.00; #threats <= 75.00; countermeasure = 0.0; formation = 1.0; 10398.43 < threat_range <= 20104.47; countermeasure = 0.0; #threats <= 26.00; threat_range <= 20104.47; countermeasure = 0.0; #threats <= 53.00; #threats <= 26.00,12,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
48,day_time > 18.00; weather = 1.0; #threats <= 75.00; #threats <= 75.00; countermeasure = 1.0; 10398.43 < threat_range <= 20104.47; day_time > 12.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
49,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 30458.59; threat_range <= 30458.59; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 20104.47; #threats <= 75.00; countermeasure = 0.0; countermeasure = 0.0; #threats <= 53.00; #threats <= 53.00; threat_range <= 20104.47; weather = 4.0; countermeasure = 0.0; #threats <= 53.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,day_time <= 6.00; threat_range <= 30458.59; weather = 2.0; threat_range > 10398.43; day_time <= 6.00; 10398.43 < threat_range <= 30458.59; 15.83 < flying_speed <= 38.83; #threats > 26.00; formation = 1.0; #threats > 75.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
51,weather = 1.0; flying_speed > 38.83; threat_range > 20104.47; weather = 1.0; flying_speed > 38.83; 53.00 < #threats <= 75.00; 10398.43 < threat_range <= 30458.59; flying_speed > 15.83,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
52,#threats <= 75.00; weather = 1.0; day_time > 6.00; #threats > 26.00; threat_range <= 20104.47; day_time <= 12.00; #threats <= 75.00; day_time <= 12.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
53,#threats <= 53.00; #threats <= 26.00; formation = 0.0; threat_range <= 30458.59; #threats <= 53.00,7,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
54,countermeasure = 0.0; countermeasure = 0.0; flying_speed <= 38.83; flying_speed <= 38.83; threat_range <= 30458.59; countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; #threats <= 75.00; flying_speed <= 15.83; #threats <= 26.00; weather = 3.0; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 27.56; formation = 1.0; #threats <= 26.00; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 27.56; #threats <= 53.00; threat_range > 20104.47; day_time <= 18.00; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 27.56; day_time > 12.00; countermeasure = 0.0; #threats <= 53.00; threat_range > 10398.43; weather = 3.0; flying_speed <= 27.56,12,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
56,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; threat_range > 10398.43; #threats <= 75.00; #threats > 26.00; countermeasure = 0.0; flying_speed <= 38.83; 26.00 < #threats <= 75.00; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 38.83; #threats <= 75.00; threat_range > 30458.59,11,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
57,flying_speed <= 38.83; day_time > 12.00; weather = 2.0; #threats <= 75.00; day_time > 12.00; 10398.43 < threat_range <= 20104.47; #threats > 26.00; weather = 2.0; countermeasure = 1.0; flying_speed <= 38.83,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
58,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 38.83; threat_range > 10398.43; #threats <= 75.00; day_time <= 6.00; #threats <= 53.00; countermeasure = 0.0; countermeasure = 0.0; day_time <= 6.00; flying_speed <= 38.83; threat_range > 20104.47; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 38.83; threat_range > 20104.47; #threats <= 26.00,11,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
59,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 27.56; #threats <= 75.00; weather = 4.0; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 26.00; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 53.00; flying_speed <= 15.83,12,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
60,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 75.00; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 27.56; countermeasure = 0.0; flying_speed <= 27.56; flying_speed <= 15.83; flying_speed <= 15.83; formation = 1.0; threat_range <= 20104.47; #threats <= 53.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; threat_range <= 30458.59; 26.00 < #threats <= 75.00; day_time <= 12.00; day_time <= 12.00; countermeasure = 0.0; day_time <= 12.00; 26.00 < #threats <= 75.00; formation = 0.0; countermeasure = 0.0; #threats > 26.00; countermeasure = 0.0; threat_range <= 20104.47; 26.00 < #threats <= 75.00; countermeasure = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 53.00; countermeasure = 0.0; #threats <= 75.00; flying_speed <= 15.83; 26.00 < #threats <= 53.00; countermeasure = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,#threats <= 53.00; day_time > 18.00; threat_range > 20104.47; #threats <= 53.00; day_time > 12.00,7,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
64,#threats <= 26.00; #threats <= 26.00; flying_speed <= 27.56; #threats <= 75.00; #threats <= 75.00; 15.83 < flying_speed <= 27.56; threat_range > 10398.43; 6.00 < day_time <= 18.00; #threats <= 53.00,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
65,#threats > 53.00; flying_speed <= 15.83; formation = 1.0; weather = 2.0; threat_range > 30458.59; day_time > 6.00; formation = 1.0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,countermeasure = 0.0; countermeasure = 0.0; flying_speed <= 27.56; day_time <= 6.00; countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; formation = 1.0; flying_speed <= 15.83; countermeasure = 0.0; threat_range <= 20104.47,12,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
67,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; day_time <= 12.00; countermeasure = 0.0; flying_speed <= 38.83; threat_range <= 30458.59; #threats > 26.00; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 38.83; threat_range > 10398.43; day_time <= 12.00; threat_range <= 30458.59; formation = 0.0; countermeasure = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,#threats <= 75.00; day_time > 12.00; #threats <= 75.00,6,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
69,threat_range <= 30458.59; weather = 1.0; weather = 1.0; flying_speed <= 38.83; day_time <= 12.00; flying_speed <= 27.56; threat_range > 10398.43; formation = 1.0; flying_speed <= 27.56,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
70,#threats <= 75.00; day_time <= 12.00; weather = 2.0; #threats <= 26.00; threat_range <= 20104.47; formation = 1.0; flying_speed > 38.83; threat_range <= 20104.47,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
72,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 15.83; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; day_time <= 18.00; countermeasure = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
